2023/05/28,09:31:00,  Test No.:,        17
MAP,BASE,L-TOP,X,1   ,Y,1   
DATA:,3262-019(OS)-OGRT-220902-d
Result of AutoTest(All steps)

Start time:,05/28/2023,09:26:30
End time  :,05/28/2023,09:31:00

Test result:,PASS

TEST-Step,2850,PASS-Step,2850,FAIL-Step,0
CCD-Err,0,SKIP-Err,0




AST,STEP-No.  ,STEP-NAME   ,,MOD  ,JUDGE   ,,  MODE  ,,,,REF-VALUE  ,MEAS-VALUE ,HI-LIMIT   ,LO-LIMIT   ,,,,,,,,,NET_H ,NET_L ,NET_G1,NET_G2,,,,,,,,,,,,,,,,,,,,,,,PNT-H ,PNT-L ,,,,,,,,,,,,SMX,SMY,
AST,68        ,P42   S143  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2906  ,2906  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,42    ,143   ,,,,,,,,,,,,  0,  0,
AST,69        ,P40   S133  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 312.9   R,           ,           ,,,,,,,,,2907  ,2907  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,40    ,133   ,,,,,,,,,,,,  0,  0,
AST,70        ,P41   S132  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2908  ,2908  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,41    ,132   ,,,,,,,,,,,,  0,  0,
AST,71        ,P38   S131  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2909  ,2909  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,38    ,131   ,,,,,,,,,,,,  0,  0,
AST,72        ,P39   S130  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 483.6   R,           ,           ,,,,,,,,,2910  ,2910  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,39    ,130   ,,,,,,,,,,,,  0,  0,
AST,73        ,P48   S148  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2932  ,2932  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,48    ,148   ,,,,,,,,,,,,  0,  0,
AST,74        ,P46   S150  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2933  ,2933  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,46    ,150   ,,,,,,,,,,,,  0,  0,
AST,75        ,P47   S149  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 180.2   R,           ,           ,,,,,,,,,2937  ,2937  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,47    ,149   ,,,,,,,,,,,,  0,  0,
AST,76        ,N18   N77   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1328  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,77    ,,,,,,,,,,,,  0,  0,
AST,77        ,N18   N87   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1347  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,87    ,,,,,,,,,,,,  0,  0,
AST,78        ,N18   N86   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1348  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,86    ,,,,,,,,,,,,  0,  0,
AST,79        ,N18   N85   ,,1    ,GOOD    ,, OPEN   ,,,, 20.00   R, 999.9  GR,           ,           ,,,,,,,,,1280  ,1350  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,18    ,85    ,,,,,,,,,,,,  0,  0,
